energy_offer,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
hour,1,2,3,4,5,6,7,8,9,10,11,12
1,65.6,65.6,65.6,250,250,250,250,250,250,250,65.6,65.6
2,70.4,70.4,70.4,250,250,250,250,250,250,250,70.4,70.4
3,74.4,74.4,74.4,250,250,250,250,250,250,250,74.4,74.4
4,76,76,76,250,250,250,250,250,250,250,76,76
5,76,76,76,250,250,250,250,250,250,250,76,76
6,76.8,76.8,76.8,250,250,250,250,250,250,250,76.8,76.8
7,77.6,77.6,77.6,250,250,250,250,250,250,250,77.6,77.6
8,77.6,77.6,77.6,250,250,250,250,250,250,250,77.6,77.6
9,77.6,77.6,77.6,250,250,250,250,250,250,250,77.6,77.6
10,76.8,76.8,76.8,250,250,250,250,250,250,250,76.8,76.8
11,76,76,76,250,250,250,250,250,250,250,76,76
12,74.4,74.4,74.4,250,250,250,250,250,250,250,74.4,74.4
13,72.8,72.8,72.8,250,250,250,250,250,250,250,72.8,72.8
14,71.2,71.2,71.2,250,250,250,250,250,250,250,71.2,71.2
15,70.4,70.4,70.4,250,250,250,250,250,250,250,70.4,70.4
16,68.8,68.8,68.8,250,250,250,250,250,250,250,68.8,68.8
17,67.2,67.2,67.2,250,250,250,250,250,250,250,67.2,67.2
18,65.6,65.6,65.6,250,250,250,250,250,250,250,65.6,65.6
19,63.2,63.2,63.2,250,250,250,250,250,250,250,63.2,63.2
20,60,60,60,250,250,250,250,250,250,250,60,60
21,58.4,58.4,58.4,250,250,250,250,250,250,250,58.4,58.4
22,56,56,56,250,250,250,250,250,250,250,56,56
23,54.4,54.4,54.4,250,250,250,250,250,250,250,54.4,54.4
24,65.6,65.6,65.6,250,250,250,250,250,250,250,65.6,65.6
