year,month
2030,5
2030,6
2030,7
2030,8
2030,9
2030,10
2030,11
2030,12
2031,1
2031,2
2031,3
2031,4
2031,5
2031,6
2031,7
2031,8
2031,9
2031,10
2031,11
2031,12
2032,1
2032,2
2032,3
2032,4
2032,5
2032,6
2032,7
2032,8
2032,9
2032,10
2032,11
2032,12
2033,1
2033,2
2033,3
2033,4
2033,5
2033,6
2033,7
2033,8
2033,9
2033,10
2033,11
2033,12
2034,1
2034,2
2034,3
2034,4
2034,5
2034,6
2034,7
2034,8
2034,9
2034,10
2034,11
2034,12
2035,1
2035,2
2035,3
2035,4
2035,5
2035,6
2035,7
2035,8
2035,9
2035,10
2035,11
2035,12
2036,1
2036,2
2036,3
2036,4
2036,5
2036,6
2036,7
2036,8
2036,9
2036,10
2036,11
2036,12
2037,1
2037,2
2037,3
2037,4
2037,5
2037,6
2037,7
2037,8
2037,9
2037,10
2037,11
2037,12
2038,1
2038,2
2038,3
2038,4
2038,5
2038,6
2038,7
2038,8
2038,9
2038,10
2038,11
2038,12
2039,1
2039,2
2039,3
2039,4
2039,5
2039,6
2039,7
2039,8
2039,9
2039,10
2039,11
2039,12
2040,1
2040,2
2040,3
2040,4
2040,5
2040,6
2040,7
2040,8
2040,9
2040,10
2040,11
2040,12
2041,1
2041,2
2041,3
2041,4
2041,5
2041,6
2041,7
2041,8
2041,9
2041,10
2041,11
2041,12
2042,1
2042,2
2042,3
2042,4
2042,5
2042,6
2042,7
2042,8
2042,9
2042,10
2042,11
2042,12
2043,1
2043,2
2043,3
2043,4
2043,5
2043,6
2043,7
2043,8
2043,9
2043,10
2043,11
2043,12
2044,1
2044,2
2044,3
2044,4
2044,5
2044,6
2044,7
2044,8
2044,9
2044,10
2044,11
2044,12
2045,1
2045,2
2045,3
2045,4
