,USD/BBL,USD/TM,USD/TM,USD/MMBTU
year,bunker,carbon,coque,gasnatural
2025,55.62,52.24,218.29,2.88
2026,59.04,53.99,216.69,2.74
2027,66.6,58,215.5,2.62
2028,74.43,58.68,214.59,2.73
2029,82.73,59.38,214.34,2.89
2030,91.52,65.54,214.24,3.08
2031,92.15,66.72,214.31,3.23
2032,92.1,98.71,214.87,3.7
2033,94.02,98.74,214.75,4.1
2034,94.84,103.52,213.72,4.34
2035,95.93,105.27,214.33,4.43
2036,96.47,107.16,214.3,4.42
2037,97,107.89,214.22,4.37
2038,97.83,107.17,214.14,4.31
2039,98.14,113.23,213.52,4.24
2040,98.6,113.84,213.45,4.27
2041,98.89,114.78,212.68,4.34
2042,100.34,114.68,212.57,4.42
2043,100.35,114.23,212.35,4.56
2044,99.29,116.08,212.44,4.64
2045,99.55,116.16,212.77,4.7
