mechanism_period,month,hour,energy_requirement
PM1,5,1,89
PM1,5,2,70.5
PM1,5,3,61
PM1,5,4,56.8
PM1,5,5,61.9
PM1,5,6,76.9
PM1,5,7,211.2
PM1,5,8,245.5
PM1,5,9,276
PM1,5,10,288.7
PM1,5,11,297.7
PM1,5,12,315.7
PM1,5,13,313.4
PM1,5,14,308.5
PM1,5,15,313
PM1,5,16,318.8
PM1,5,17,312.9
PM1,5,18,314.1
PM1,5,19,393.1
PM1,5,20,494.1
PM1,5,21,436.2
PM1,5,22,357.9
PM1,5,23,360.2
PM1,5,24,304.9
PM1,6,1,46.2
PM1,6,2,26.7
PM1,6,3,18.9
PM1,6,4,17.7
PM1,6,5,25.7
PM1,6,6,46.1
PM1,6,7,159
PM1,6,8,191.9
PM1,6,9,222.2
PM1,6,10,235.7
PM1,6,11,244.3
PM1,6,12,254.7
PM1,6,13,260.8
PM1,6,14,255.1
PM1,6,15,259.3
PM1,6,16,262.3
PM1,6,17,266.5
PM1,6,18,285.4
PM1,6,19,368.7
PM1,6,20,442.1
PM1,6,21,392.5
PM1,6,22,314.5
PM1,6,23,304.7
PM1,6,24,255.2
PM1,7,1,42.6
PM1,7,2,21.6
PM1,7,3,13.5
PM1,7,4,11.2
PM1,7,5,18.2
PM1,7,6,36.8
PM1,7,7,113.4
PM1,7,8,146.6
PM1,7,9,175.4
PM1,7,10,196.6
PM1,7,11,207.2
PM1,7,12,216.5
PM1,7,13,215.9
PM1,7,14,211.1
PM1,7,15,213.9
PM1,7,16,218.2
PM1,7,17,218.4
PM1,7,18,227.2
PM1,7,19,323.2
PM1,7,20,432
PM1,7,21,387.9
PM1,7,22,307.8
PM1,7,23,124.2
PM1,7,24,72.6
PM1,8,1,36.7
PM1,8,2,15.3
PM1,8,3,7.5
PM1,8,4,5.4
PM1,8,5,14.5
PM1,8,6,38.4
PM1,8,7,116.9
PM1,8,8,149.8
PM1,8,9,176.8
PM1,8,10,197.5
PM1,8,11,200.4
PM1,8,12,211.2
PM1,8,13,213.4
PM1,8,14,208.5
PM1,8,15,211.4
PM1,8,16,214.9
PM1,8,17,216.6
PM1,8,18,237.6
PM1,8,19,335.4
PM1,8,20,419.4
PM1,8,21,367.9
PM1,8,22,302
PM1,8,23,113.4
PM1,8,24,67.3
PM1,9,1,32.2
PM1,9,2,5.7
PM1,9,3,0
PM1,9,4,0
PM1,9,5,6
PM1,9,6,32.7
PM1,9,7,116.5
PM1,9,8,145.2
PM1,9,9,169.6
PM1,9,10,186.7
PM1,9,11,189.8
PM1,9,12,196
PM1,9,13,201.8
PM1,9,14,199.5
PM1,9,15,197.5
PM1,9,16,202.2
PM1,9,17,215
PM1,9,18,261.7
PM1,9,19,380.7
PM1,9,20,411.3
PM1,9,21,350.3
PM1,9,22,284.6
PM1,9,23,105.5
PM1,9,24,56.7
PM1,10,1,33
PM1,10,2,12.4
PM1,10,3,0
PM1,10,4,0
PM1,10,5,3.3
PM1,10,6,29.5
PM1,10,7,130.8
PM1,10,8,160.4
PM1,10,9,189
PM1,10,10,209
PM1,10,11,213.5
PM1,10,12,222.1
PM1,10,13,221.7
PM1,10,14,219.8
PM1,10,15,229.2
PM1,10,16,233.6
PM1,10,17,245.9
PM1,10,18,288.1
PM1,10,19,427.7
PM1,10,20,407.6
PM1,10,21,363
PM1,10,22,283
PM1,10,23,112.8
PM1,10,24,57.1
PM1,11,1,37.6
PM1,11,2,17.3
PM1,11,3,9.7
PM1,11,4,8.3
PM1,11,5,19
PM1,11,6,46.4
PM1,11,7,128.8
PM1,11,8,160.7
PM1,11,9,191
PM1,11,10,209.2
PM1,11,11,215.1
PM1,11,12,222.3
PM1,11,13,224.4
PM1,11,14,218.7
PM1,11,15,223.2
PM1,11,16,230
PM1,11,17,235.9
PM1,11,18,294
PM1,11,19,477
PM1,11,20,451.3
PM1,11,21,389.2
PM1,11,22,318.7
PM1,11,23,116.7
PM1,11,24,70.2
PM1,12,1,32.5
PM1,12,2,26.1
PM1,12,3,16.6
PM1,12,4,15.1
PM1,12,5,25.6
PM1,12,6,52.8
PM1,12,7,166.9
PM1,12,8,193.5
PM1,12,9,227.7
PM1,12,10,250.3
PM1,12,11,252.3
PM1,12,12,260.3
PM1,12,13,262.6
PM1,12,14,257.4
PM1,12,15,257.6
PM1,12,16,262.5
PM1,12,17,270.7
PM1,12,18,311.4
PM1,12,19,489.3
PM1,12,20,482
PM1,12,21,440.1
PM1,12,22,353.4
PM1,12,23,142.8
PM1,12,24,91.7
PM1,1,1,39.5
PM1,1,2,18.5
PM1,1,3,14.3
PM1,1,4,13.2
PM1,1,5,26.3
PM1,1,6,52.3
PM1,1,7,153.8
PM1,1,8,173.6
PM1,1,9,203.8
PM1,1,10,221.7
PM1,1,11,224.8
PM1,1,12,234.4
PM1,1,13,235.1
PM1,1,14,227.9
PM1,1,15,240.6
PM1,1,16,249.1
PM1,1,17,241.9
PM1,1,18,269.8
PM1,1,19,446
PM1,1,20,465.2
PM1,1,21,400.5
