mechanism_period,month,energy_requirement
PM1,5,194618
PM1,6,154686
PM1,7,128712
PM1,8,126424.2
PM1,9,118416
PM1,10,133067.5
PM1,11,135441
PM1,12,159377.2
PM1,1,144494.1
PM1,2,132260.8
PM1,3,189592.9
PM1,4,199938
PM2,5,265542.9
PM2,6,228954
PM2,7,207033.5
PM2,8,206227.5
PM2,9,196425
PM2,10,215273.3
PM2,11,209139
PM2,12,236492.8
PM2,1,213056.8
PM2,2,189988.4
PM2,3,262771.5
PM2,4,269466
PM3,5,260396.9
PM3,6,228456
PM3,7,203143
PM3,8,202116.9
PM3,9,193455
PM3,10,213335.8
PM3,11,206664
PM3,12,234521.2
PM3,1,209121.07
PM3,2,186878.1
PM3,3,264027.38
PM3,4,272285.89
