stage,requirement_total
1,589.0
2,570.5
3,561.0
4,556.8
5,561.9
6,576.9
7,711.2
8,745.5
9,776.0
10,788.7
11,797.7
12,815.7
13,813.4
14,808.5
15,813.0
16,818.8
17,812.9
18,814.1
19,893.1
20,994.1
21,936.2
22,857.9
23,860.2
24,804.9
25,546.2
26,526.7
27,518.9
28,517.7
29,525.7
30,546.1
31,659.0
32,691.9
33,722.2
34,735.7
35,744.3
36,754.7
37,760.8
38,755.1
39,759.3
40,762.3
41,766.5
42,785.4
43,868.7
44,942.1
45,892.5
46,814.5
47,804.7
48,755.2
49,542.6
50,521.6
51,513.5
52,511.2
53,518.2
54,536.8
55,613.4
56,646.6
57,675.4
58,696.6
59,707.2
60,716.5
61,715.9
62,711.1
63,713.9
64,718.2
65,718.4
66,727.2
67,823.2
68,932.0
69,887.9
70,807.8
71,624.2
72,572.6
73,536.7
74,515.3
75,507.5
76,505.4
77,514.5
78,538.4
79,616.9
80,649.8
81,676.8
82,697.5
83,700.4
84,711.2
85,713.4
86,708.5
87,711.4
88,714.9
89,716.6
90,737.6
91,835.4
92,919.4
93,867.9
94,802.0
95,613.4
96,567.3
97,532.2
98,505.7
99,500.0
100,500.0
101,506.0
102,532.7
103,616.5
104,645.2
105,669.6
106,686.7
107,689.8
108,696.0
109,701.8
110,699.5
111,697.5
112,702.2
113,715.0
114,761.7
115,880.7
116,911.3
117,850.3
118,784.6
119,605.5
120,556.7
121,533.0
122,512.4
123,500.0
124,500.0
125,503.3
126,529.5
127,630.8
128,660.4
129,689.0
130,709.0
131,713.5
132,722.1
133,721.7
134,719.8
135,729.2
136,733.6
137,745.9
138,788.1
139,927.7
140,907.6
141,863.0
142,783.0
143,612.8
144,557.1
145,537.6
146,517.3
147,509.7
148,508.3
149,519.0
150,546.4
151,628.8
152,660.7
153,691.0
154,709.2
155,715.1
156,722.3
157,724.4
158,718.7
159,723.2
160,730.0
161,735.9
162,794.0
163,977.0
164,951.3
165,889.2
166,818.7
167,616.7
168,570.2
169,532.5
170,526.1
171,516.6
172,515.1
173,525.6
174,552.8
175,666.9
176,693.5
177,727.7
178,750.3
179,752.3
180,760.3
181,762.6
182,757.4
183,757.6
184,762.5
185,770.7
186,811.4
187,989.3
188,982.0
189,940.1
190,853.4
191,642.8
192,591.7
193,539.5
194,518.5
195,514.3
196,513.2
197,526.3
198,552.3
199,653.8
200,673.6
201,703.8
202,721.7
203,724.8
204,734.4
205,735.1
206,727.9
207,740.6
208,749.1
209,741.9
210,769.8
211,946.0
212,965.2
213,900.5
214,819.8
215,620.0
216,569.0
217,545.8
218,529.2
219,517.1
220,516.1
221,527.5
222,561.1
223,656.8
224,677.8
225,707.9
226,722.4
227,731.8
228,735.9
229,734.5
230,741.0
231,744.3
232,739.7
233,735.5
234,741.8
235,903.6
236,978.1
237,928.5
238,834.3
239,633.7
240,579.2
241,577.5
242,558.7
243,545.5
244,545.4
245,557.1
246,570.9
247,695.7
248,724.4
249,741.3
250,774.0
251,789.0
252,796.8
253,796.4
254,785.7
255,791.8
256,799.1
257,804.0
258,811.8
259,926.8
260,1000.0
261,975.2
262,883.5
263,862.2
264,803.1
265,607.8
266,587.2
267,576.2
268,564.1
269,576.4
270,585.5
271,703.8
272,745.0
273,782.2
274,803.6
275,817.8
276,823.3
277,823.8
278,818.6
279,828.2
280,830.6
281,816.8
282,831.4
283,928.3
284,1000.0
285,991.9
286,906.4
287,884.0
288,831.7
289,589.0
290,570.5
291,561.0
292,556.8
293,561.9
294,576.9
295,711.2
296,745.5
297,776.0
298,788.7
299,797.7
300,815.7
301,813.4
302,808.5
303,813.0
304,818.8
305,812.9
306,814.1
307,893.1
308,994.1
309,936.2
310,857.9
311,860.2
312,804.9
313,546.2
314,526.7
315,518.9
316,517.7
317,525.7
318,546.1
319,659.0
320,691.9
321,722.2
322,735.7
323,744.3
324,754.7
325,760.8
326,755.1
327,759.3
328,762.3
329,766.5
330,785.4
331,868.7
332,942.1
333,892.5
334,814.5
335,804.7
336,755.2
337,542.6
338,521.6
339,513.5
340,511.2
341,518.2
342,536.8
343,613.4
344,646.6
345,675.4
346,696.6
347,707.2
348,716.5
349,715.9
350,711.1
351,713.9
352,718.2
353,718.4
354,727.2
355,823.2
356,932.0
357,887.9
358,807.8
359,624.2
360,572.6
361,536.7
362,515.3
363,507.5
364,505.4
365,514.5
366,538.4
367,616.9
368,649.8
369,676.8
370,697.5
371,700.4
372,711.2
373,713.4
374,708.5
375,711.4
376,714.9
377,716.6
378,737.6
379,835.4
380,919.4
381,867.9
382,802.0
383,613.4
384,567.3
385,532.2
386,505.7
387,500.0
388,500.0
389,506.0
390,532.7
391,616.5
392,645.2
393,669.6
394,686.7
395,689.8
396,696.0
397,701.8
398,699.5
399,697.5
400,702.2
401,715.0
402,761.7
403,880.7
404,911.3
405,850.3
406,784.6
407,605.5
408,556.7
409,533.0
410,512.4
411,500.0
412,500.0
413,503.3
414,529.5
415,630.8
416,660.4
417,689.0
418,709.0
419,713.5
420,722.1
421,721.7
422,719.8
423,729.2
424,733.6
425,745.9
426,788.1
427,927.7
428,907.6
429,863.0
430,783.0
431,612.8
432,557.1
433,537.6
434,517.3
435,509.7
436,508.3
437,519.0
438,546.4
439,628.8
440,660.7
441,691.0
442,709.2
443,715.1
444,722.3
445,724.4
446,718.7
447,723.2
448,730.0
449,735.9
450,794.0
451,977.0
452,951.3
453,889.2
454,818.7
455,616.7
456,570.2
457,532.5
458,526.1
459,516.6
460,515.1
461,525.6
462,552.8
463,666.9
464,693.5
465,727.7
466,750.3
467,752.3
468,760.3
469,762.6
470,757.4
471,757.6
472,762.5
473,770.7
474,811.4
475,989.3
476,982.0
477,940.1
478,853.4
479,642.8
480,591.7
481,539.5
482,518.5
483,514.3
484,513.2
485,526.3
486,552.3
487,653.8
488,673.6
489,703.8
490,721.7
491,724.8
492,734.4
493,735.1
494,727.9
495,740.6
496,749.1
497,741.9
498,769.8
499,946.0
500,965.2
501,900.5
502,819.8
503,620.0
504,569.0
505,545.8
506,529.2
507,517.1
508,516.1
509,527.5
510,561.1
511,656.8
512,677.8
513,707.9
514,722.4
515,731.8
516,735.9
517,734.5
518,741.0
519,744.3
520,739.7
521,735.5
522,741.8
523,903.6
524,978.1
525,928.5
526,834.3
527,633.7
528,579.2
529,577.5
530,558.7
531,545.5
532,545.4
533,557.1
534,570.9
535,695.7
536,724.4
537,741.3
538,774.0
539,789.0
540,796.8
541,796.4
542,785.7
543,791.8
544,799.1
545,804.0
546,811.8
547,926.8
548,1000.0
549,975.2
550,883.5
551,862.2
552,803.1
553,607.8
554,587.2
555,576.2
556,564.1
557,576.4
558,585.5
559,703.8
560,745.0
561,782.2
562,803.6
563,817.8
564,823.3
565,823.8
566,818.6
567,828.2
568,830.6
569,816.8
570,831.4
571,928.3
572,1000.0
573,991.9
574,906.4
575,884.0
576,831.7
577,710.1
578,690.7
579,680.9
580,677.4
581,686.7
582,703.0
583,909.5
584,948.6
585,982.7
586,997.3
587,1007.4
588,1021.3
589,1017.9
590,1012.3
591,1015.7
592,1020.0
593,1011.9
594,1012.7
595,1170.8
596,1276.0
597,1215.9
598,1133.6
599,1061.2
600,1002.3
601,673.7
602,657.1
603,648.8
604,647.4
605,655.8
606,677.5
607,868.4
608,908.4
609,941.1
610,956.2
611,965.3
612,976.5
613,981.2
614,975.0
615,977.6
616,979.6
617,982.0
618,1000.9
619,1139.2
620,1217.0
621,1165.1
622,1083.0
623,1003.9
624,951.1
625,683.4
626,665.0
627,656.4
628,653.9
629,661.2
630,681.1
631,829.5
632,870.4
633,902.9
634,925.9
635,936.3
636,946.5
637,945.3
638,939.5
639,940.6
640,944.0
641,941.7
642,949.6
643,1088.0
644,1201.8
645,1155.5
646,1071.6
647,771.7
648,716.7
649,681.7
650,663.6
651,655.3
652,653.0
653,662.5
654,686.3
655,836.7
656,877.2
657,907.5
658,929.6
659,933.1
660,944.5
661,945.5
662,939.8
663,940.8
664,943.4
665,943.6
666,964.1
667,1095.2
668,1183.0
669,1129.1
670,1059.2
671,763.6
672,714.2
673,677.6
674,653.9
675,646.0
676,644.9
677,654.9
678,681.5
679,839.0
680,875.4
681,903.4
682,921.8
683,925.0
684,931.8
685,936.2
686,932.5
687,928.6
688,932.1
689,943.3
690,990.4
691,1142.5
692,1174.9
693,1111.1
694,1041.3
695,756.2
696,703.2
697,677.6
698,659.8
699,643.3
700,641.6
701,652.1
702,678.1
703,857.7
704,894.7
705,926.9
706,948.8
707,953.5
708,963.0
709,961.7
710,957.8
711,965.2
712,968.2
713,978.6
714,1023.8
715,1191.9
716,1170.8
717,1123.5
718,1039.5
719,763.1
720,703.1
721,674.9
722,657.2
723,648.9
724,647.6
725,659.1
726,688.4
727,840.3
728,878.2
729,911.4
730,931.1
731,937.7
732,948.0
733,948.9
734,942.6
735,945.7
736,950.0
737,952.6
738,1014.1
739,1253.1
740,1225.6
741,1161.6
742,1087.0
743,758.7
744,708.6
745,664.6
746,660.4
747,650.4
748,648.8
749,659.8
750,688.9
751,881.8
752,915.5
753,952.5
754,976.4
755,978.5
756,987.1
757,988.6
758,982.6
759,985.2
760,989.7
761,993.3
762,1036.5
763,1271.8
764,1263.1
765,1219.4
766,1128.7
767,779.8
768,725.4
769,670.0
770,647.9
771,643.4
772,641.8
773,651.7
774,679.4
775,853.4
776,879.9
777,913.5
778,932.9
779,936.8
780,946.9
781,947.1
782,939.0
783,950.4
784,954.7
785,946.0
786,973.9
787,1218.1
788,1239.0
789,1171.5
790,1086.4
791,751.9
792,697.2
793,669.3
794,651.8
795,643.6
796,642.5
797,653.1
798,685.5
799,847.2
800,874.9
801,908.1
802,924.3
803,934.3
804,938.5
805,934.4
806,939.0
807,941.4
808,935.7
809,930.6
810,935.3
811,1174.3
812,1251.9
813,1199.7
814,1101.1
815,763.6
816,705.2
817,698.1
818,678.5
819,669.3
820,667.1
821,677.3
822,692.8
823,898.7
824,933.9
825,953.7
826,985.4
827,998.9
828,1007.0
829,1006.1
830,994.9
831,1000.5
832,1006.3
833,1008.6
834,1017.1
835,1205.1
836,1300.0
837,1254.9
838,1158.7
839,1063.9
840,999.7
841,729.4
842,707.9
843,696.5
844,688.2
845,697.2
846,708.1
847,903.6
848,949.8
849,986.9
850,1010.3
851,1025.1
852,1030.4
853,1030.7
854,1024.4
855,1032.5
856,1033.2
857,1016.6
858,1033.6
859,1206.8
860,1300.0
861,1272.4
862,1182.6
863,1086.5
864,1029.5
865,777.6
866,757.8
867,747.7
868,744.2
869,753.6
870,770.2
871,1000.3
872,1040.2
873,1075.0
874,1093.0
875,1103.3
876,1117.5
877,1114.1
878,1108.4
879,1111.8
880,1116.2
881,1108.0
882,1108.9
883,1292.6
884,1399.8
885,1338.6
886,1254.3
887,1163.5
888,1103.3
889,743.3
890,726.4
891,717.9
892,716.5
893,725.0
894,747.1
895,974.2
896,1015.0
897,1048.5
898,1064.1
899,1073.5
900,1085.0
901,1089.6
902,1083.3
903,1086.0
904,1088.0
905,1090.4
906,1098.3
907,1258.6
908,1338.6
909,1285.5
910,1201.4
911,1106.6
912,1052.4
913,755.9
914,737.0
915,728.3
916,725.7
917,733.1
918,753.4
919,930.5
920,972.2
921,1005.5
922,1029.0
923,1039.8
924,1050.2
925,1048.9
926,1043.0
927,1044.0
928,1047.6
929,1045.3
930,1042.2
931,1204.3
932,1320.6
933,1273.3
934,1187.3
935,846.2
936,789.7
937,754.6
938,736.1
939,727.7
940,725.3
941,735.0
942,759.2
943,937.8
944,979.0
945,1010.1
946,1032.8
947,1036.6
948,1048.2
949,1049.2
950,1043.4
951,1044.4
952,1047.2
953,1047.2
954,1056.7
955,1209.0
956,1298.7
957,1243.6
958,1171.8
959,838.5
960,787.8
961,747.7
962,731.3
963,723.3
964,722.1
965,732.3
